"AREA_HA","CODIGO_VER","COD_DPTO","DESCRIPCIO","DPTOMPIO","FUENTE","NOMBRE_VER","NOMB_MPIO","NOM_DEP","OBJECTID","OBSERVACIO","SEUDONIMOS","VIGENCIA","cat","MOD2015A","MOD2015B","MOD2016A","MOD2016B","MOD2017A","MOD2017B","MOD2018A"
2549.87351162,23670003,23,"NULL",23670,"ESRI","ALEMANIA","SAN ANDRÉS DE SOTAVENTO","CÓRDOBA",26095,"",1,"INDF",25832,31.1101614502944,28.8889870063201,31.0102595235328,28.0711336208709,29.5706723815592,28.0757073023349,29.7773429636926
1932.58033448,23675006,23,"NULL",23675,"DPS - ESRI","VILLA CLARA","SAN BERNARDO DEL VIENTO","CÓRDOBA",26112,"",1,"INDF",25849,29.0233907814137,27.8781209347517,28.7600831608783,27.2721994926679,28.0369008081825,27.5407890459738,28.2833943704448
7517.21743555,23678003,23,"NULL",23678,"DPS - ESRI","TREMENTINO","SAN CARLOS","CÓRDOBA",26119,"",1,"INDF",25856,29.9991038974367,28.1275429237964,29.539686603845,27.0298360108874,27.7030999142129,27.5222720824491,28.9325313627792
328.313228878,23682027,23,"NULL",23682,"REGIÓN NUDO DE PARAMILLO","LA ESMERALDA","SAN JOSÉ DE URÉ","CÓRDOBA",26124,"",1,"INDF",25861,26.7692956204975,25.9401759520302,26.3485920251774,25.2760828631281,25.5018851448059,25.4604893367453,26.4482974234355
2013.43266102,23686012,23,"NULL",23686,"ESRI","GUAMA ARRIBA","SAN PELAYO","CÓRDOBA",26157,"",1,"INDF",25894,30.5645543027514,27.7662460616418,29.8151369186305,27.329200754034,28.6056521743465,28.0077919228381,28.9758870959962
2369.21491977,23807164,23,"NULL",23807,"REGIÓN NUDO PARAMILLO","RESGUARDO YABERARADÓ","TIERRALTA","CÓRDOBA",26169,"",1,"INDF",25906,25.1343299067008,24.8888507304591,24.7701535577119,23.8235792968648,23.9278796814812,24.6671108573326,24.768857829268
2188.90677123,23815005,23,"NULL",23815,"ESRI","CARRETALES","TUCHÍN","CÓRDOBA",26328,"",1,"INDF",26065,30.5779784919802,28.3768333809629,30.4988115228191,27.5687806790348,28.8722128963909,27.1529519765274,29.1559401010717
170.541071545,23855079,23,"NULL",23855,"TRABAJO EN CAMPO","PECHINDE BAJO","VALENCIA","CÓRDOBA",26331,"",1,"INDF",26068,28.2932690990196,27.4374176243586,27.1199587471197,26.0305261226574,25.8983581172602,26.724215092292,27.3518783789089
59844.6578541,94001011,94,"NULL",94001,"DEFENSORIA PUEBLO","CAÑO GUARIBEN","INÍRIDA","GUAINÍA",11290,"",1,"INDF",11142,25.3800682540211,26.2703862738304,27.1205485178793,25.6377114910538,25.8765900555295,25.3441518009788,26.5134656294436
9319.32305701,94343003,94,"NULL",94343,"DEFENSORIA PUEBLO","CHATARE","BARRANCO MINAS","GUAINÍA",11305,"",1,"INDF",11156,24.9380802985863,25.6756365188959,26.5463319576929,25.4179046850261,25.3442680109458,25.1002541614201,25.9988364262951
15253.8471715,94663007,94,"NULL",94663,"DEFENSORIA PUEBLO","CARPINTERO PALOMAS","MAPIRIPANA","GUAINÍA",11314,"",1,"INDF",11164,25.1296767631389,25.5615790712887,26.2363765544207,25.6021424064638,25.3538786715336,25.022516390675,25.9739877582333
292620.202873,94883000,94,"NULL",94883,"DEFENSORIA PUEBLO","SAN FELIPE","SAN FELIPE","GUAINÍA",34379,"",1,"INDF",33202,25.4455198209491,25.9274617049311,26.3184609924611,25.9287720714359,25.4951708096179,25.4961181743086,26.5111727917182
1148976.64208,94884000,94,"NULL",94884,"DEFENSORIA PUEBLO","PUERTO COLOMBIA","PUERTO COLOMBIA","GUAINÍA",34380,"",1,"INDF",33203,25.2599981137789,25.898892348218,26.4599852911144,25.9357428601085,25.8078727804238,25.2233836790694,26.0178861037333
117882.652746,94885000,94,"NULL",94885,"DEFENSORIA PUEBLO","LA GUADALUPE","LA GUADALUPE","GUAINÍA",34381,"",1,"INDF",33204,26.343676994475,26.4525108247338,26.2641529106376,25.4657379398091,25.9230388084159,25.0127942444747,27.0169427483728
233527.464968,94886000,94,"NULL",94886,"DEFENSORIA PUEBLO","CACAHUAL","CACAHUAL","GUAINÍA",34382,"",1,"INDF",33205,26.4317285293517,26.9929357447349,28.2397712241047,25.0503409676647,26.8885863216359,25.9773452623955,27.4061607914503
285834.411871,94887001,94,"NULL",94887,"DEFENSORIA PUEBLO","VENADO ISANA","PANA PANA","GUAINÍA",11323,"",1,"INDF",11169,25.1763196646917,25.6637084791822,26.0748171704787,25.2273658679917,25.4917103927737,25.0988411586939,26.1870690377663
852254.372846,94888001,94,"NULL",94888,"DEFENSORIA PUEBLO","MORICHAL","MORICHAL","GUAINÍA",34376,"",1,"INDF",33199,25.4329447319207,25.6126002137954,26.1460337880651,24.9978105153269,25.4535151693452,24.5789226682109,25.8029140666717
935.965854127,86001049,86,"NULL",86001,"ESRI - OCHA","LA PEDREGOSA","MOCOA","PUTUMAYO",15797,"",1,"INDF",15605,15.7144531808917,18.4183171651054,18.0631085480793,18.2370451648993,18.3665479477213,18.2865293655619,16.9910635876128
