"AREA_HA","CODIGO_VER","COD_DPTO","DESCRIPCIO","DPTOMPIO","FUENTE","NOMBRE_VER","NOMB_MPIO","NOM_DEP","OBJECTID","OBSERVACIO","SEUDONIMOS","VIGENCIA","cat","SEMESTRE","TMEAN"
1912.70095019,50226009,50,"NULL",50226,"EOT","INSPECCION VARSOVIA","CUMARAL","META",16908,"",1,"2009",16707,"2015A",26.8886236434623
1912.70095019,50226009,50,"NULL",50226,"EOT","INSPECCION VARSOVIA","CUMARAL","META",16908,"",1,"2009",16707,"2015B",26.7151573996769
1912.70095019,50226009,50,"NULL",50226,"EOT","INSPECCION VARSOVIA","CUMARAL","META",16908,"",1,"2009",16707,"2016A",28.4637288485509
1912.70095019,50226009,50,"NULL",50226,"EOT","INSPECCION VARSOVIA","CUMARAL","META",16908,"",1,"2009",16707,"2016B",25.8002265657539
1912.70095019,50226009,50,"NULL",50226,"EOT","INSPECCION VARSOVIA","CUMARAL","META",16908,"",1,"2009",16707,"2017A",26.2205328893329
1912.70095019,50226009,50,"NULL",50226,"EOT","INSPECCION VARSOVIA","CUMARAL","META",16908,"",1,"2009",16707,"2017B",26.1902827805011
1912.70095019,50226009,50,"NULL",50226,"EOT","INSPECCION VARSOVIA","CUMARAL","META",16908,"",1,"2009",16707,"2018A",27.9088008475531
446.913642608,50251015,50,"NULL",50251,"ALCALDIA MUNICIPAL","CARMEN UNO","EL CASTILLO","META",16935,"",1,"2009",16733,"2015A",23.5608094654409
446.913642608,50251015,50,"NULL",50251,"ALCALDIA MUNICIPAL","CARMEN UNO","EL CASTILLO","META",16935,"",1,"2009",16733,"2015B",22.4001003289092
446.913642608,50251015,50,"NULL",50251,"ALCALDIA MUNICIPAL","CARMEN UNO","EL CASTILLO","META",16935,"",1,"2009",16733,"2016A",23.6004015802706
446.913642608,50251015,50,"NULL",50251,"ALCALDIA MUNICIPAL","CARMEN UNO","EL CASTILLO","META",16935,"",1,"2009",16733,"2016B",21.7516674046576
446.913642608,50251015,50,"NULL",50251,"ALCALDIA MUNICIPAL","CARMEN UNO","EL CASTILLO","META",16935,"",1,"2009",16733,"2017A",22.3572421706719
446.913642608,50251015,50,"NULL",50251,"ALCALDIA MUNICIPAL","CARMEN UNO","EL CASTILLO","META",16935,"",1,"2009",16733,"2017B",22.001647533857
446.913642608,50251015,50,"NULL",50251,"ALCALDIA MUNICIPAL","CARMEN UNO","EL CASTILLO","META",16935,"",1,"2009",16733,"2018A",23.3864583625667
1392.50716359,50270012,50,"CON CENTRO POBLADO",50270,"EOT","PUEBLO SANCHEZ","EL DORADO","META",16976,"",1,"2009",16774,"2015A",24.9642751865716
1392.50716359,50270012,50,"CON CENTRO POBLADO",50270,"EOT","PUEBLO SANCHEZ","EL DORADO","META",16976,"",1,"2009",16774,"2015B",24.1865337837304
1392.50716359,50270012,50,"CON CENTRO POBLADO",50270,"EOT","PUEBLO SANCHEZ","EL DORADO","META",16976,"",1,"2009",16774,"2016A",24.9311147488102
1392.50716359,50270012,50,"CON CENTRO POBLADO",50270,"EOT","PUEBLO SANCHEZ","EL DORADO","META",16976,"",1,"2009",16774,"2016B",22.2672965757622
1392.50716359,50270012,50,"CON CENTRO POBLADO",50270,"EOT","PUEBLO SANCHEZ","EL DORADO","META",16976,"",1,"2009",16774,"2017A",23.2648663377339
1392.50716359,50270012,50,"CON CENTRO POBLADO",50270,"EOT","PUEBLO SANCHEZ","EL DORADO","META",16976,"",1,"2009",16774,"2017B",23.822323958173
1392.50716359,50270012,50,"CON CENTRO POBLADO",50270,"EOT","PUEBLO SANCHEZ","EL DORADO","META",16976,"",1,"2009",16774,"2018A",25.5841347735601
1758.28229123,50287025,50,"CON CENTRO POBLADO",50287,"EOT","URICACHA","FUENTEDEORO","META",16994,"",1,"2009",16792,"2015A",26.8974428737149
1758.28229123,50287025,50,"CON CENTRO POBLADO",50287,"EOT","URICACHA","FUENTEDEORO","META",16994,"",1,"2009",16792,"2015B",27.1400679652512
1758.28229123,50287025,50,"CON CENTRO POBLADO",50287,"EOT","URICACHA","FUENTEDEORO","META",16994,"",1,"2009",16792,"2016A",27.1419113073998
1758.28229123,50287025,50,"CON CENTRO POBLADO",50287,"EOT","URICACHA","FUENTEDEORO","META",16994,"",1,"2009",16792,"2016B",25.9061177888909
1758.28229123,50287025,50,"CON CENTRO POBLADO",50287,"EOT","URICACHA","FUENTEDEORO","META",16994,"",1,"2009",16792,"2017A",26.0843550959074
1758.28229123,50287025,50,"CON CENTRO POBLADO",50287,"EOT","URICACHA","FUENTEDEORO","META",16994,"",1,"2009",16792,"2017B",25.9827968143905
1758.28229123,50287025,50,"CON CENTRO POBLADO",50287,"EOT","URICACHA","FUENTEDEORO","META",16994,"",1,"2009",16792,"2018A",27.6463239046749
682.661366492,50318008,50,"CON CENTRO POBLADO",50318,"POT 2016","HUMEDEA","GUAMAL","META",17032,"",1,"2009",16830,"2015A",16.0266358526706
682.661366492,50318008,50,"CON CENTRO POBLADO",50318,"POT 2016","HUMEDEA","GUAMAL","META",17032,"",1,"2009",16830,"2015B",15.1221411476796
682.661366492,50318008,50,"CON CENTRO POBLADO",50318,"POT 2016","HUMEDEA","GUAMAL","META",17032,"",1,"2009",16830,"2016A",17.104958841488
