date,AVG(Temp),AVG(Press),AVG(Cond),AVG(Salinity),AVG(DO),AVG(rawO2),AVG(OxySat),AVG(pH),AVG(Redox)
06/04/2015 0:04,7.580086944,7.941079346,0.042404897,0.030277766,12.20824952,726.9584322,102.2065976,6.717687953,539.48768
07/04/2015 0:13,7.534853899,9.156980783,0.042742693,0.030529688,12.12599067,722.2687197,101.3866097,6.908504529,536.8364929
08/04/2015 0:05,7.161921807,9.133233891,0.043659901,0.031301188,11.91303039,708.3503599,98.66623107,6.977177391,541.4804993
09/04/2015 0:05,7.592356995,9.096575392,0.043213489,0.030834194,12.0734478,719.2330975,101.09146,6.900804403,530.07627
10/04/2015 0:05,8.646196708,3.75434625,0.043798906,0.030823667,12.49727113,746.4094778,107.3384398,6.536681688,528.3953044
11/04/2015 0:05,9.036497427,3.775924031,0.045225469,0.031613604,12.61608184,753.3455244,109.3842129,6.573050021,525.9161961
12/04/2015 0:05,7.388382612,14.71915233,0.044217106,0.031585221,11.84186888,704.4244328,98.71384027,6.904939686,541.4738668
13/04/2015 0:03,8.002641915,9.18928309,0.04568508,0.032329176,12.07751138,720.6619393,102.145984,7.06956983,537.0178301
14/04/2015 0:05,8.260616794,9.153623618,0.045717994,0.032239612,12.15965994,725.4810593,103.5353663,7.048050941,533.3643691
15/04/2015 0:05,8.714373263,4.190952303,0.046783868,0.032768803,12.27938716,733.5660737,105.6337173,7.036260171,535.7810211
16/04/2015 0:14,9.65936025,3.903458656,0.047767729,0.033018073,12.74612036,759.8167369,112.1663931,7.470545479,513.2985334
17/04/2015 0:14,9.57335161,9.078177909,0.047385064,0.032804658,12.67259753,753.5754927,111.4505709,7.448873246,518.1206878
18/04/2015 0:03,9.443187016,8.995350295,0.047370053,0.0328473,12.56054254,746.7199248,110.1589148,7.414370384,522.9888389
19/04/2015 0:05,10.79697961,3.889879688,0.04762151,0.032465646,13.07570695,774.2694543,118.1699619,7.51915275,512.886007
20/04/2015 0:05,10.76306388,3.929105221,0.0481715,0.03282064,12.96381784,767.8574985,117.0687275,7.405654826,518.8332726
